iter	Logloss
0	0.6713942625
1	0.6516070465
2	0.6339510855
3	0.6186583799
4	0.6034168785
5	0.5895806671
6	0.5766599371
7	0.5650880127
8	0.555100352
9	0.5447234956
10	0.5358686517
11	0.5284284685
12	0.520353471
13	0.5133412271
14	0.5078602204
15	0.5017081499
16	0.4957821462
17	0.4910136864
18	0.4858744353
19	0.4814904004
20	0.4776566804
21	0.4736191728
22	0.469847939
23	0.4662465893
24	0.4639876671
25	0.4606999504
26	0.4587424899
27	0.4558119918
28	0.4537210739
29	0.4510992744
30	0.4486847573
31	0.4463563129
32	0.4446845082
33	0.4424804111
34	0.4403571782
35	0.4382846955
36	0.4368698878
37	0.4354640137
38	0.4339524187
39	0.4325445982
40	0.4315003454
41	0.4303861095
42	0.4288504191
43	0.4276713497
44	0.4266247704
45	0.425593805
46	0.4244210849
47	0.42331814
48	0.4220910415
49	0.421022793
50	0.420284339
51	0.4194178727
52	0.4187737578
53	0.4179711971
54	0.4172079048
55	0.4161829555
56	0.4155598
57	0.4148175568
58	0.4139719826
59	0.4132778888
60	0.4125075748
61	0.4119580174
62	0.4111073239
63	0.4104725953
64	0.4098190218
65	0.4093504071
66	0.4086792879
67	0.4078937927
68	0.4071839688
69	0.4067042029
70	0.4063428225
71	0.4057477066
72	0.4053260574
73	0.4047790698
74	0.4041828805
75	0.4035308571
76	0.4030005895
77	0.402622599
78	0.4022055375
79	0.4018856511
80	0.4015805847
81	0.4012237063
82	0.4008833705
83	0.4005300913
84	0.4004233786
85	0.4000177823
86	0.3995990924
87	0.3990816204
88	0.3988124033
89	0.3984215201
90	0.3982157039
91	0.397861888
92	0.3975591281
93	0.3972622976
94	0.3970153854
95	0.396534012
96	0.3961440458
97	0.3957349215
98	0.3953784754
99	0.3949765148
100	0.3946093068
101	0.3943456561
102	0.3940947731
103	0.3937390591
104	0.3934529064
105	0.3931407462
106	0.3929373846
107	0.3925944119
108	0.392273855
109	0.3920098405
110	0.3917616858
111	0.3915632954
112	0.3913496736
113	0.3909651644
114	0.390776659
115	0.3905695348
116	0.3903031596
117	0.3898303035
118	0.3895196164
119	0.3892552422
120	0.3889441014
121	0.3888238351
122	0.3886000469
123	0.3882160473
124	0.3878709218
125	0.3875337941
126	0.3873198859
127	0.3870838718
128	0.386806044
129	0.386634208
130	0.3863697268
131	0.3861802584
132	0.3859909024
133	0.3858452065
134	0.3855890977
135	0.3853696123
136	0.3851462255
137	0.3848761285
138	0.3846816538
139	0.3844191443
140	0.3841142863
141	0.3838948554
142	0.3836346212
143	0.3833863433
144	0.3832289348
145	0.383032533
146	0.3827721635
147	0.3826662324
148	0.3824463494
149	0.3822687969
150	0.3819823802
151	0.3817427426
152	0.3815784877
153	0.3814534181
154	0.3813044111
155	0.3810077625
156	0.3808100114
157	0.380565387
158	0.3803240155
159	0.380156612
160	0.380007705
161	0.3798156466
162	0.3796233036
163	0.3793955016
