iter	Passed	Remaining
0	8	24584
1	16	24413
2	24	24895
3	32	24223
4	40	24027
5	48	23979
6	55	23835
7	63	23624
8	80	26896
9	89	26620
10	96	26087
11	102	25612
12	110	25287
13	117	25004
14	124	24687
15	132	24627
16	139	24515
17	146	24240
18	153	24015
19	160	23877
20	167	23718
21	173	23505
22	180	23317
23	186	23163
24	193	23053
25	200	22989
26	207	22891
27	214	22780
28	221	22675
29	227	22512
30	234	22424
31	241	22396
32	249	22451
33	257	22443
34	264	22431
35	273	22514
36	281	22546
37	288	22519
38	297	22551
39	304	22508
40	311	22464
41	318	22466
42	326	22420
43	339	22825
44	348	22898
45	355	22853
46	363	22823
47	370	22759
48	377	22760
49	384	22714
50	391	22665
51	398	22612
52	405	22538
53	414	22606
54	422	22649
55	430	22654
56	439	22675
57	446	22664
58	455	22718
59	463	22691
60	470	22672
61	477	22631
62	484	22594
63	491	22540
64	498	22501
65	505	22460
66	512	22418
67	520	22438
68	528	22451
69	535	22407
70	541	22353
71	549	22362
72	556	22332
73	564	22301
74	570	22245
75	582	22398
76	589	22361
77	596	22337
78	602	22292
79	609	22256
80	616	22212
81	623	22194
82	630	22155
83	637	22131
84	641	21992
85	648	21975
86	655	21938
87	662	21913
88	669	21902
89	676	21880
90	683	21865
91	691	21861
92	699	21854
93	706	21833
94	713	21819
95	720	21794
96	727	21766
97	734	21763
98	742	21747
99	749	21744
100	756	21712
101	763	21691
102	770	21668
103	778	21685
104	785	21668
105	792	21649
106	799	21620
107	807	21628
108	814	21607
109	825	21687
110	831	21654
111	839	21636
112	844	21588
113	852	21572
114	858	21538
115	866	21530
116	872	21498
117	878	21460
118	885	21440
119	892	21424
120	899	21410
121	906	21391
122	913	21361
123	920	21346
124	928	21348
125	935	21341
126	943	21341
127	950	21330
128	958	21324
129	964	21299
130	971	21280
131	978	21265
132	985	21239
133	992	21223
134	999	21201
135	1006	21191
136	1013	21171
137	1020	21163
138	1027	21142
139	1033	21119
140	1040	21097
141	1047	21078
142	1053	21057
143	1060	21033
144	1074	21165
145	1081	21147
146	1088	21130
147	1095	21103
148	1101	21084
149	1108	21057
150	1115	21038
151	1121	21013
152	1128	20994
153	1134	20974
154	1141	20945
155	1148	20929
156	1154	20906
157	1161	20892
158	1168	20871
159	1174	20856
160	1181	20829
161	1187	20810
162	1194	20788
163	1201	20769
164	1207	20750
165	1214	20733
166	1221	20721
167	1227	20699
168	1234	20680
169	1241	20661
170	1247	20645
171	1255	20634
172	1261	20616
173	1268	20606
174	1275	20584
175	1281	20565
176	1287	20542
177	1295	20534
178	1302	20521
179	1308	20501
180	1318	20539
181	1325	20528
182	1331	20501
183	1338	20481
184	1346	20483
185	1352	20468
186	1359	20450
187	1365	20428
188	1372	20409
189	1379	20396
190	1385	20381
191	1392	20360
192	1398	20339
193	1405	20325
194	1411	20306
195	1418	20295
196	1425	20281
197	1432	20267
198	1438	20248
199	1445	20236
200	1453	20238
201	1460	20235
202	1468	20226
203	1475	20224
204	1483	20229
205	1490	20211
206	1497	20203
207	1504	20193
208	1510	20176
209	1517	20161
210	1524	20148
211	1531	20136
212	1537	20123
213	1545	20114
214	1551	20101
215	1558	20089
216	1565	20072
217	1576	20117
218	1583	20107
219	1590	20104
220	1597	20090
221	1604	20076
222	1610	20058
223	1618	20052
224	1624	20030
225	1631	20024
226	1637	20007
227	1643	19984
228	1650	19975
229	1657	19963
230	1664	19949
231	1671	19936
232	1677	19925
233	1684	19907
234	1690	19891
235	1696	19874
236	1703	19857
237	1710	19847
238	1717	19843
239	1723	19824
240	1730	19805
241	1737	19800
242	1743	19786
243	1750	19767
244	1756	19756
245	1763	19743
246	1770	19728
247	1776	19715
248	1783	19708
249	1789	19689
250	1796	19678
251	1803	19668
252	1809	19650
253	1822	19708
254	1829	19695
255	1835	19679
256	1842	19665
257	1849	19651
258	1855	19636
259	1862	19625
260	1868	19608
261	1875	19596
262	1882	19592
